High School,2010 Total in Class,2010 Total Enrolled,2010 Total in Public,2010 Total in Private,2010 Total in 4-Year,2010 Total in 2-Year,2010 Total in-State,2010 Total Out-of-State,2011 Total in Class,2011 Total Enrolled,2011 Total in Public,2011 Total in Private,2011 Total in 4-Year,2011 Total in 2-Year,2011 Total in-State,2011 Total Out-of-State,2012 Total in Class,2012 Total Enrolled,2012 Total in Public,2012 Total in Private,2012 Total in 4-Year,2012 Total in 2-Year,2012 Total in-State,2012 Total Out-of-State,2013 Total in Class,2013 Total Enrolled,2013 Total in Public,2013 Total in Private,2013 Total in 4-Year,2013 Total in 2-Year,2013 Total in-State,2013 Total Out-of-State,2014 Total in Class,2014 Total Enrolled,2014 Total in Public,2014 Total in Private,2014 Total in 4-Year,2014 Total in 2-Year,2014 Total in-State,2014 Total Out-of-State,2015 Total in Class,2015 Total Enrolled,2015 Total in Public,2015 Total in Private,2015 Total in 4-Year,2015 Total in 2-Year,2015 Total in-State,2015 Total Out-of-State
Bennett,134,63,43,20,28,35,62,1,115,65,37,28,32,33,60,5,123,60,35,25,30,30,56,4,109,59,34,25,28,31,59,0,92,54,37,17,20,34,54,0,88,53,30,23,28,25,51,2
Burgard,78,26,15,11,15,11,21,5,51,27,21,6,11,16,25,2,66,27,24,3,8,19,27,0,62,31,18,13,16,15,30,1,108,52,32,20,27,25,51,1,95,53,40,13,20,33,53,0
City Honors,106,91,56,35,84,7,63,28,111,95,55,40,92,3,69,26,101,92,45,47,88,4,69,23,108,101,71,30,94,7,84,17,126,108,60,48,105,3,87,21,112,105,59,46,101,4,92,13
Leonardo da Vinci,70,54,23,31,44,10,50,4,100,76,39,37,57,19,73,3,90,70,34,36,52,18,66,4,91,80,35,45,64,16,77,3,72,64,29,35,52,12,63,1,102,84,51,33,61,23,84,0
East,101,47,36,11,17,30,46,1,84,49,32,17,21,28,46,3,37,9,3,6,7,2,8,1,69,39,25,14,15,24,38,1,117,57,44,13,18,39,57,0,52,27,17,10,11,16,26,1
Emerson,79,42,21,21,26,16,40,2,87,34,21,13,17,17,33,1,103,43,29,14,19,24,41,2,89,60,40,20,29,31,58,2,92,50,32,18,28,22,48,2,72,42,30,12,18,24,42,0
Hutch Tech,238,163,113,50,109,54,149,14,244,192,134,58,133,59,179,13,227,158,113,45,104,54,148,10,210,156,121,35,104,52,150,6,234,184,112,72,129,55,178,6,234,185,131,54,126,59,181,4
I-Prep at Grover,,,,,,,,,43,26,17,9,16,10,24,2,25,13,8,5,7,6,13,0,47,38,25,13,17,21,38,0,38,27,18,9,13,14,24,3,46,30,18,12,13,17,30,0
Lafayette,117,46,32,14,20,26,43,3,74,36,21,15,17,19,35,1,56,24,12,12,13,11,23,1,84,46,26,20,23,23,44,2,53,27,13,14,19,8,25,2,52,25,15,10,15,10,25,0
McKinley,179,94,65,29,46,48,89,5,180,88,71,17,35,53,83,5,181,78,58,20,34,44,75,3,184,120,92,28,56,64,117,3,182,112,86,26,58,54,111,1,187,114,98,16,37,77,110,4
Middle Early,61,54,53,1,2,52,53,1,58,52,52,0,0,52,52,0,48,44,44,0,0,44,44,0,52,48,48,0,0,48,48,0,65,59,55,4,6,53,58,1,54,42,42,0,1,41,42,0
MST,47,26,21,5,10,16,25,1,46,31,19,12,15,16,31,0,3,3,0,3,3,0,3,0,51,30,18,12,14,16,26,4,52,35,23,12,17,18,33,2,43,24,15,9,14,10,24,0
Olmsted,,,,,,,,,,,,,,,,,42,39,26,13,24,15,36,3,64,60,39,21,45,15,60,0,57,50,36,14,43,7,49,1,56,48,38,10,41,7,44,4
Performing Arts,105,71,41,30,45,26,65,6,117,73,45,28,46,27,65,8,94,65,42,23,42,23,61,4,94,74,50,24,48,26,73,1,114,85,49,36,68,17,84,1,,,,,,,,
Riverside ,96,34,13,21,22,12,32,2,68,40,24,16,22,18,27,3,70,36,20,16,20,16,34,2,68,36,28,8,12,24,33,3,85,45,29,16,23,22,39,6,79,56,46,10,22,34,54,2
South Park,150,58,39,19,22,36,57,1,139,60,39,21,28,32,59,1,138,45,30,15,15,30,43,2,166,83,60,23,27,56,80,3,188,93,69,24,34,59,91,2,158,72,49,23,31,41,72,0
